feature,importance
resource_count,0.7863897183048432
line_count,0.16395884086495863
sg_has_wide_cidr,0.01906035772108274
sg_unrestricted_egress,0.009088098185714131
has_hardcoded_secrets,0.003815375378768621
sg_ssh_exposed,0.003100729309985519
s3_no_logging,0.002938074595942813
ec2_no_monitoring,0.002395246213208502
iam_wildcard_resources,0.0017987527155931943
ec2_public_ip,0.0017734484553369651
encryption_kms_missing,0.0015909197836152826
s3_no_versioning,0.001533595431680141
s3_no_encryption,0.0008212942746482955
ec2_unencrypted_ebs,0.000749260864445576
encryption_missing,0.0006542601688647716
s3_public_access,0.0002470750910626537
iam_wildcard_actions,5.788495140906767e-05
sg_rdp_exposed,2.706768883995795e-05
